Region;Lat;Long;Capacity
Region Blekinge;56.1887692;15.5552307;6
Region Dalarna;61.0070263;14.4121466;14
Region Gotland;57.6271191;18.1685052;2
Region Gävleborg;60.6875496;16.9094728;16
Region Halland;56.6703666;12.5478546;13
Region Jämtland Härjedalen;63.1750771;14.3706061;7
Region Jönköpings län;57.7556879;13.9080715;15
Region Kalmar län;56.6873648;16.1877056;11
Region Kronoberg;56.8895206;14.6540577;8
Region Norrbotten;67.1394502;20.5222172;17
Region Skåne;55.569849;12.7357878;54
Region Stockholm;59.3249394;17.4216366;190
Region Sörmland;58.9910823;16.0550956;14
Region Uppsala;59.8329818;17.3782665;25
Region Värmland;59.3925738;13.2433361;13
Region Västerbotten;65.1014192;17.045959;21
Region Västernorrland;63.2838024;18.4049388;13
Region Västmanland;59.6242931;16.2649099;9
Region Örebro län;59.2779983;15.0623712;22
Region Östergötland;58.4034828;15.3305917;31
Västra Götalandsregionen;57.6997541;11.333414;115
