Region;Lat;Long;Capacity
Region Blekinge;56.16156;15.58661;6
Region Dalarna;61.004627;14.537272;14
Region Gotland;57.634800;18.294840;2
Region Gävleborg;60.67452;17.14174;16
Region Halland;56.67446;12.85676;13
Region Jämtland Härjedalen;63.1792;14.63566;7
Region Jönköping;57.78145;14.15618;15
Region Kalmar;56.66157;16.36163;11
Region Kronoberg;56.87767;14.80906;8
Region Norrbotten;67.13387;20.65278;17
Region Skåne;55.60587;13.00073;54
Region Stockholm;59.334591;18.063240;190
Region Sörmland;58.753;17.00788;14
Region Uppsala;59.85882;17.63889;25
Region Värmland;59.3793;13.50357;13
Region Västerbotten;65.0956204;17.1122771;21
Region Västernorrland;63.29091;18.71525;13
Region Västmanland;59.611366;16.545025;9
Region Örebro;59.27412;15.2066;22
Region Östergötland;58.41086;15.62157;31
Västra Götalandsregionen;57.70716;11.96679;115
