date,iva,befolkning,mean_age,Region,change_coming_3_days,change_since_1_days,change_since_2_days,change_since_3_days,change_since_4_days,change_since_5_days,change_since_6_days,change_since_7_days,cases,case_change_from_day_10_to_4,iva_per_1000
2020-03-06,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,0.0,,0.0
2020-03-07,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,0.0,,0.0
2020-03-08,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,0.0,,0.0
2020-03-09,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,0.0,,0.0
2020-03-10,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,0.0,,0.0
2020-03-11,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,1.0,,0.0
2020-03-12,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,7.0,,0.0
2020-03-13,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,9.0,,0.0
2020-03-14,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,9.0,,0.0
2020-03-15,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,9.0,,0.0
2020-03-16,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,10.0,inf,0.0
2020-03-17,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,10.0,inf,0.0
2020-03-18,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,11.0,inf,0.0
2020-03-19,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,12.0,inf,0.0
2020-03-20,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,12.0,inf,0.0
2020-03-21,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,12.0,10.0,0.0
2020-03-22,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,12.0,1.5714285714285714,0.0
2020-03-23,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,12.0,1.3333333333333333,0.0
2020-03-24,0.0,159606.0,43.358574,Region Blekinge,,,,,,,,,12.0,1.3333333333333333,0.0
2020-03-25,0.0,159606.0,43.358574,Region Blekinge,inf,,,,,,,,12.0,1.3333333333333333,0.0
2020-03-26,0.0,159606.0,43.358574,Region Blekinge,inf,,,,,,,,15.0,1.2,0.0
2020-03-27,0.0,159606.0,43.358574,Region Blekinge,inf,,,,,,,,15.0,1.2,0.0
2020-03-28,1.0,159606.0,43.358574,Region Blekinge,1.0,inf,inf,inf,inf,inf,inf,inf,17.0,1.0909090909090908,0.006265428617971755
2020-03-29,1.0,159606.0,43.358574,Region Blekinge,1.0,1.0,inf,inf,inf,inf,inf,inf,17.0,1.0,0.006265428617971755
2020-03-30,1.0,159606.0,43.358574,Region Blekinge,2.0,1.0,1.0,inf,inf,inf,inf,inf,21.0,1.25,0.006265428617971755
2020-03-31,1.0,159606.0,43.358574,Region Blekinge,2.0,1.0,1.0,1.0,inf,inf,inf,inf,21.0,1.25,0.006265428617971755
2020-04-01,1.0,159606.0,43.358574,Region Blekinge,,1.0,1.0,1.0,1.0,inf,inf,inf,,1.4166666666666667,0.006265428617971755
2020-04-02,2.0,159606.0,43.358574,Region Blekinge,,2.0,2.0,2.0,2.0,2.0,inf,inf,,1.4166666666666667,0.01253085723594351
2020-04-03,2.0,159606.0,43.358574,Region Blekinge,,1.0,2.0,2.0,2.0,2.0,2.0,inf,,1.75,0.01253085723594351
2020-03-06,0.0,287966.0,43.698243,Region Dalarna,,,,,,,,,0.0,,0.0
2020-03-07,0.0,287966.0,43.698243,Region Dalarna,,,,,,,,,0.0,,0.0
2020-03-08,0.0,287966.0,43.698243,Region Dalarna,,,,,,,,,0.0,,0.0
2020-03-09,0.0,287966.0,43.698243,Region Dalarna,,,,,,,,,0.0,,0.0
2020-03-10,0.0,287966.0,43.698243,Region Dalarna,,,,,,,,,0.0,,0.0
2020-03-11,0.0,287966.0,43.698243,Region Dalarna,,,,,,,,,0.0,,0.0
2020-03-12,0.0,287966.0,43.698243,Region Dalarna,,,,,,,,,1.0,,0.0
2020-03-13,0.0,287966.0,43.698243,Region Dalarna,,,,,,,,,4.0,,0.0
2020-03-14,0.0,287966.0,43.698243,Region Dalarna,,,,,,,,,5.0,,0.0
2020-03-15,0.0,287966.0,43.698243,Region Dalarna,inf,,,,,,,,5.0,,0.0
2020-03-16,0.0,287966.0,43.698243,Region Dalarna,inf,,,,,,,,5.0,inf,0.0
2020-03-17,0.0,287966.0,43.698243,Region Dalarna,inf,,,,,,,,5.0,inf,0.0
2020-03-18,1.0,287966.0,43.698243,Region Dalarna,2.0,inf,inf,inf,inf,inf,inf,inf,8.0,inf,0.0034726321857441503
2020-03-19,1.0,287966.0,43.698243,Region Dalarna,2.0,1.0,inf,inf,inf,inf,inf,inf,10.0,inf,0.0034726321857441503
2020-03-20,1.0,287966.0,43.698243,Region Dalarna,3.0,1.0,1.0,inf,inf,inf,inf,inf,12.0,inf,0.0034726321857441503
2020-03-21,2.0,287966.0,43.698243,Region Dalarna,2.5,2.0,2.0,2.0,inf,inf,inf,inf,17.0,inf,0.006945264371488301
2020-03-22,2.0,287966.0,43.698243,Region Dalarna,3.5,1.0,2.0,2.0,2.0,inf,inf,inf,17.0,8.0,0.006945264371488301
2020-03-23,3.0,287966.0,43.698243,Region Dalarna,2.6666666666666665,1.5,1.5,3.0,3.0,3.0,inf,inf,22.0,2.5,0.01041789655723245
2020-03-24,5.0,287966.0,43.698243,Region Dalarna,1.6,1.6666666666666667,2.5,2.5,5.0,5.0,5.0,inf,31.0,2.4,0.017363160928720752
2020-03-25,7.0,287966.0,43.698243,Region Dalarna,1.1428571428571428,1.4,2.3333333333333335,3.5,3.5,7.0,7.0,7.0,40.0,3.4,0.024308425300209054
2020-03-26,8.0,287966.0,43.698243,Region Dalarna,1.0,1.1428571428571428,1.6,2.6666666666666665,4.0,4.0,8.0,8.0,53.0,3.4,0.027781057485953203
2020-03-27,8.0,287966.0,43.698243,Region Dalarna,1.125,1.0,1.1428571428571428,1.6,2.6666666666666665,4.0,4.0,8.0,61.0,4.4,0.027781057485953203
2020-03-28,8.0,287966.0,43.698243,Region Dalarna,1.125,1.0,1.0,1.1428571428571428,1.6,2.6666666666666665,4.0,4.0,76.0,3.875,0.027781057485953203
2020-03-29,8.0,287966.0,43.698243,Region Dalarna,1.25,1.0,1.0,1.0,1.1428571428571428,1.6,2.6666666666666665,4.0,82.0,4.0,0.027781057485953203
2020-03-30,9.0,287966.0,43.698243,Region Dalarna,1.2222222222222223,1.125,1.125,1.125,1.125,1.2857142857142858,1.8,3.0,92.0,4.416666666666667,0.03125368967169736
2020-03-31,9.0,287966.0,43.698243,Region Dalarna,1.2222222222222223,1.0,1.125,1.125,1.125,1.125,1.2857142857142858,1.8,97.0,3.588235294117647,0.03125368967169736
2020-04-01,10.0,287966.0,43.698243,Region Dalarna,,1.1111111111111112,1.1111111111111112,1.25,1.25,1.25,1.25,1.4285714285714286,,4.470588235294118,0.034726321857441504
2020-04-02,11.0,287966.0,43.698243,Region Dalarna,,1.1,1.2222222222222223,1.2222222222222223,1.375,1.375,1.375,1.375,,3.727272727272727,0.03819895404318566
2020-04-03,11.0,287966.0,43.698243,Region Dalarna,,1.0,1.1,1.2222222222222223,1.2222222222222223,1.375,1.375,1.375,,2.967741935483871,0.03819895404318566
2020-03-06,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,0.0,,0.0
2020-03-07,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,2.0,,0.0
2020-03-08,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,2.0,,0.0
2020-03-09,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,2.0,,0.0
2020-03-10,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,2.0,,0.0
2020-03-11,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,2.0,,0.0
2020-03-12,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,3.0,,0.0
2020-03-13,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,5.0,,0.0
2020-03-14,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,6.0,,0.0
2020-03-15,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,7.0,,0.0
2020-03-16,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,7.0,inf,0.0
2020-03-17,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,9.0,2.5,0.0
2020-03-18,0.0,287382.0,43.609346,Region Gävleborg,,,,,,,,,13.0,3.0,0.0
2020-03-19,0.0,287382.0,43.609346,Region Gävleborg,inf,,,,,,,,15.0,3.5,0.0
2020-03-20,0.0,287382.0,43.609346,Region Gävleborg,inf,,,,,,,,15.0,3.5,0.0
2020-03-21,0.0,287382.0,43.609346,Region Gävleborg,inf,,,,,,,,20.0,4.5,0.0
2020-03-22,1.0,287382.0,43.609346,Region Gävleborg,3.0,inf,inf,inf,inf,inf,inf,inf,24.0,4.333333333333333,0.0034796890549860463
2020-03-23,2.0,287382.0,43.609346,Region Gävleborg,2.0,2.0,inf,inf,inf,inf,inf,inf,24.0,3.0,0.006959378109972093
2020-03-24,3.0,287382.0,43.609346,Region Gävleborg,1.3333333333333333,1.5,3.0,inf,inf,inf,inf,inf,27.0,2.5,0.010439067164958139
2020-03-25,3.0,287382.0,43.609346,Region Gävleborg,1.3333333333333333,1.0,1.5,3.0,inf,inf,inf,inf,32.0,2.857142857142857,0.010439067164958139
2020-03-26,4.0,287382.0,43.609346,Region Gävleborg,1.5,1.3333333333333333,1.3333333333333333,2.0,4.0,inf,inf,inf,39.0,3.4285714285714284,0.013918756219944185
2020-03-27,4.0,287382.0,43.609346,Region Gävleborg,2.0,1.0,1.3333333333333333,1.3333333333333333,2.0,4.0,inf,inf,44.0,2.6666666666666665,0.013918756219944185
2020-03-28,4.0,287382.0,43.609346,Region Gävleborg,2.0,1.0,1.0,1.3333333333333333,1.3333333333333333,2.0,4.0,inf,53.0,2.076923076923077,0.013918756219944185
2020-03-29,6.0,287382.0,43.609346,Region Gävleborg,1.8333333333333333,1.5,1.5,1.5,2.0,2.0,3.0,6.0,65.0,2.1333333333333333,0.020878134329916278
2020-03-30,8.0,287382.0,43.609346,Region Gävleborg,1.5,1.3333333333333333,2.0,2.0,2.0,2.6666666666666665,2.6666666666666665,4.0,76.0,2.6,0.02783751243988837
2020-03-31,8.0,287382.0,43.609346,Region Gävleborg,1.75,1.0,1.3333333333333333,2.0,2.0,2.0,2.6666666666666665,2.6666666666666665,86.0,2.2,0.02783751243988837
2020-04-01,11.0,287382.0,43.609346,Region Gävleborg,,1.375,1.375,1.8333333333333333,2.75,2.75,2.75,3.6666666666666665,,2.2083333333333335,0.03827657960484651
2020-04-02,12.0,287382.0,43.609346,Region Gävleborg,,1.0909090909090908,1.5,1.5,2.0,3.0,3.0,3.0,,2.7083333333333335,0.041756268659832556
2020-04-03,14.0,287382.0,43.609346,Region Gävleborg,,1.1666666666666667,1.2727272727272727,1.75,1.75,2.3333333333333335,3.5,3.5,,2.814814814814815,0.048715646769804645
2020-03-06,0.0,333848.0,42.233528,Region Halland,,,,,,,,,0.0,,0.0
2020-03-07,0.0,333848.0,42.233528,Region Halland,,,,,,,,,0.0,,0.0
2020-03-08,0.0,333848.0,42.233528,Region Halland,,,,,,,,,0.0,,0.0
2020-03-09,0.0,333848.0,42.233528,Region Halland,,,,,,,,,1.0,,0.0
2020-03-10,0.0,333848.0,42.233528,Region Halland,,,,,,,,,5.0,,0.0
2020-03-11,0.0,333848.0,42.233528,Region Halland,,,,,,,,,6.0,,0.0
2020-03-12,0.0,333848.0,42.233528,Region Halland,,,,,,,,,22.0,,0.0
2020-03-13,0.0,333848.0,42.233528,Region Halland,,,,,,,,,31.0,,0.0
