,date,Region,iva,predicted
112,2020-03-31,Region Blekinge,1.0,3.0
113,2020-04-01,Region Blekinge,1.0,3.0
114,2020-04-02,Region Blekinge,2.0,3.0
115,2020-04-03,Region Blekinge,2.0,3.0
116,2020-04-04,Region Blekinge,,3.0
117,2020-04-05,Region Blekinge,,2.0
118,2020-04-06,Region Blekinge,,2.0
0,2020-03-31,Region Dalarna,7.0,6.0
1,2020-04-01,Region Dalarna,8.0,6.0
2,2020-04-02,Region Dalarna,8.0,6.0
3,2020-04-03,Region Dalarna,6.0,4.0
4,2020-04-04,Region Dalarna,,3.0
5,2020-04-05,Region Dalarna,,3.0
6,2020-04-06,Region Dalarna,,3.0
119,2020-03-31,Region Gotland,0.0,0.0
120,2020-04-01,Region Gotland,0.0,0.0
121,2020-04-02,Region Gotland,1.0,0.0
122,2020-04-03,Region Gotland,1.0,0.0
123,2020-04-04,Region Gotland,,0.0
124,2020-04-05,Region Gotland,,3.0
125,2020-04-06,Region Gotland,,3.0
7,2020-03-31,Region Gävleborg,8.0,4.0
8,2020-04-01,Region Gävleborg,10.0,5.0
9,2020-04-02,Region Gävleborg,10.0,6.0
10,2020-04-03,Region Gävleborg,11.0,5.0
11,2020-04-04,Region Gävleborg,,8.0
12,2020-04-05,Region Gävleborg,,9.0
13,2020-04-06,Region Gävleborg,,11.0
14,2020-03-31,Region Halland,7.0,7.0
15,2020-04-01,Region Halland,6.0,7.0
16,2020-04-02,Region Halland,7.0,6.0
17,2020-04-03,Region Halland,7.0,6.0
18,2020-04-04,Region Halland,,5.0
19,2020-04-05,Region Halland,,7.0
20,2020-04-06,Region Halland,,6.0
126,2020-03-31,Region Jämtland Härjedalen,1.0,3.0
127,2020-04-01,Region Jämtland Härjedalen,1.0,3.0
128,2020-04-02,Region Jämtland Härjedalen,1.0,3.0
129,2020-04-03,Region Jämtland Härjedalen,2.0,3.0
130,2020-04-04,Region Jämtland Härjedalen,,3.0
131,2020-04-05,Region Jämtland Härjedalen,,3.0
132,2020-04-06,Region Jämtland Härjedalen,,1.0
21,2020-03-31,Region Jönköpings län,10.0,10.0
22,2020-04-01,Region Jönköpings län,12.0,11.0
23,2020-04-02,Region Jönköpings län,12.0,10.0
24,2020-04-03,Region Jönköpings län,12.0,8.0
25,2020-04-04,Region Jönköpings län,,9.0
26,2020-04-05,Region Jönköpings län,,10.0
27,2020-04-06,Region Jönköpings län,,11.0
28,2020-03-31,Region Kalmar län,2.0,3.0
29,2020-04-01,Region Kalmar län,2.0,3.0
30,2020-04-02,Region Kalmar län,4.0,3.0
31,2020-04-03,Region Kalmar län,4.0,2.0
32,2020-04-04,Region Kalmar län,,2.0
33,2020-04-05,Region Kalmar län,,3.0
34,2020-04-06,Region Kalmar län,,3.0
35,2020-03-31,Region Kronoberg,0.0,0.0
36,2020-04-01,Region Kronoberg,0.0,0.0
37,2020-04-02,Region Kronoberg,0.0,0.0
38,2020-04-03,Region Kronoberg,0.0,0.0
39,2020-04-04,Region Kronoberg,,0.0
40,2020-04-05,Region Kronoberg,,0.0
41,2020-04-06,Region Kronoberg,,0.0
133,2020-03-31,Region Norrbotten,7.0,5.0
134,2020-04-01,Region Norrbotten,6.0,5.0
135,2020-04-02,Region Norrbotten,7.0,5.0
136,2020-04-03,Region Norrbotten,5.0,4.0
137,2020-04-04,Region Norrbotten,,4.0
138,2020-04-05,Region Norrbotten,,3.0
139,2020-04-06,Region Norrbotten,,3.0
42,2020-03-31,Region Skåne,8.0,8.0
43,2020-04-01,Region Skåne,10.0,8.0
44,2020-04-02,Region Skåne,10.0,7.0
45,2020-04-03,Region Skåne,10.0,10.0
46,2020-04-04,Region Skåne,,12.0
47,2020-04-05,Region Skåne,,12.0
48,2020-04-06,Region Skåne,,9.0
49,2020-03-31,Region Stockholm,138.0,143.0
50,2020-04-01,Region Stockholm,146.0,155.0
51,2020-04-02,Region Stockholm,146.0,153.0
52,2020-04-03,Region Stockholm,151.0,158.0
53,2020-04-04,Region Stockholm,,165.0
54,2020-04-05,Region Stockholm,,176.0
55,2020-04-06,Region Stockholm,,188.0
56,2020-03-31,Region Sörmland,30.0,26.0
57,2020-04-01,Region Sörmland,30.0,27.0
58,2020-04-02,Region Sörmland,30.0,28.0
59,2020-04-03,Region Sörmland,27.0,27.0
60,2020-04-04,Region Sörmland,,29.0
61,2020-04-05,Region Sörmland,,29.0
62,2020-04-06,Region Sörmland,,31.0
140,2020-03-31,Region Uppsala,13.0,9.0
141,2020-04-01,Region Uppsala,13.0,10.0
142,2020-04-02,Region Uppsala,15.0,12.0
143,2020-04-03,Region Uppsala,17.0,12.0
144,2020-04-04,Region Uppsala,,11.0
145,2020-04-05,Region Uppsala,,16.0
146,2020-04-06,Region Uppsala,,19.0
63,2020-03-31,Region Värmland,2.0,2.0
64,2020-04-01,Region Värmland,1.0,1.0
65,2020-04-02,Region Värmland,0.0,0.0
66,2020-04-03,Region Värmland,1.0,0.0
67,2020-04-04,Region Värmland,,0.0
68,2020-04-05,Region Värmland,,0.0
69,2020-04-06,Region Värmland,,1.0
70,2020-03-31,Region Västerbotten,3.0,3.0
71,2020-04-01,Region Västerbotten,3.0,2.0
72,2020-04-02,Region Västerbotten,5.0,2.0
73,2020-04-03,Region Västerbotten,6.0,2.0
74,2020-04-04,Region Västerbotten,,3.0
75,2020-04-05,Region Västerbotten,,3.0
76,2020-04-06,Region Västerbotten,,4.0
77,2020-03-31,Region Västernorrland,3.0,2.0
78,2020-04-01,Region Västernorrland,3.0,2.0
79,2020-04-02,Region Västernorrland,4.0,2.0
80,2020-04-03,Region Västernorrland,3.0,2.0
81,2020-04-04,Region Västernorrland,,2.0
82,2020-04-05,Region Västernorrland,,3.0
83,2020-04-06,Region Västernorrland,,3.0
84,2020-03-31,Region Västmanland,10.0,9.0
85,2020-04-01,Region Västmanland,12.0,10.0
86,2020-04-02,Region Västmanland,12.0,10.0
87,2020-04-03,Region Västmanland,11.0,9.0
88,2020-04-04,Region Västmanland,,10.0
89,2020-04-05,Region Västmanland,,7.0
90,2020-04-06,Region Västmanland,,5.0
91,2020-03-31,Region Örebro län,7.0,6.0
92,2020-04-01,Region Örebro län,7.0,8.0
93,2020-04-02,Region Örebro län,9.0,8.0
94,2020-04-03,Region Örebro län,8.0,7.0
95,2020-04-04,Region Örebro län,,6.0
96,2020-04-05,Region Örebro län,,7.0
97,2020-04-06,Region Örebro län,,7.0
98,2020-03-31,Region Östergötland,23.0,26.0
99,2020-04-01,Region Östergötland,20.0,25.0
100,2020-04-02,Region Östergötland,23.0,22.0
101,2020-04-03,Region Östergötland,22.0,20.0
102,2020-04-04,Region Östergötland,,14.0
103,2020-04-05,Region Östergötland,,20.0
104,2020-04-06,Region Östergötland,,20.0
105,2020-03-31,Västra Götalandsregionen,32.0,28.0
106,2020-04-01,Västra Götalandsregionen,35.0,33.0
107,2020-04-02,Västra Götalandsregionen,32.0,33.0
108,2020-04-03,Västra Götalandsregionen,35.0,38.0
109,2020-04-04,Västra Götalandsregionen,,42.0
110,2020-04-05,Västra Götalandsregionen,,39.0
111,2020-04-06,Västra Götalandsregionen,,43.0
