date,Region,iva_corrected,predicted
2020-03-06,Region Blekinge,0.0,
2020-03-06,Region Dalarna,0.0,
2020-03-06,Region Gotland,0.0,
2020-03-06,Region Gävleborg,0.0,
2020-03-06,Region Halland,0.0,
2020-03-06,Region Jämtland Härjedalen,0.0,
2020-03-06,Region Jönköpings län,0.0,
2020-03-06,Region Kalmar län,0.0,
2020-03-06,Region Kronoberg,0.0,
2020-03-06,Region Norrbotten,0.0,
2020-03-06,Region Skåne,0.0,
2020-03-06,Region Stockholm,1.0,
2020-03-06,Region Sörmland,0.0,
2020-03-06,Region Uppsala,0.0,
2020-03-06,Region Värmland,0.0,
2020-03-06,Region Västerbotten,0.0,
2020-03-06,Region Västernorrland,0.0,
2020-03-06,Region Västmanland,0.0,
2020-03-06,Region Örebro län,0.0,
2020-03-06,Region Östergötland,0.0,
2020-03-06,Västra Götalandsregionen,0.0,
2020-03-07,Region Blekinge,0.0,
2020-03-07,Region Dalarna,0.0,
2020-03-07,Region Gotland,0.0,
2020-03-07,Region Gävleborg,0.0,
2020-03-07,Region Halland,0.0,
2020-03-07,Region Jämtland Härjedalen,0.0,
2020-03-07,Region Jönköpings län,0.0,
2020-03-07,Region Kalmar län,0.0,
2020-03-07,Region Kronoberg,0.0,
2020-03-07,Region Norrbotten,0.0,
2020-03-07,Region Skåne,0.0,
2020-03-07,Region Stockholm,1.0,
2020-03-07,Region Sörmland,0.0,
2020-03-07,Region Uppsala,0.0,
2020-03-07,Region Värmland,0.0,
2020-03-07,Region Västerbotten,0.0,
2020-03-07,Region Västernorrland,0.0,
2020-03-07,Region Västmanland,0.0,
2020-03-07,Region Örebro län,0.0,
2020-03-07,Region Östergötland,0.0,
2020-03-07,Västra Götalandsregionen,1.0,
2020-03-08,Region Blekinge,0.0,
2020-03-08,Region Dalarna,0.0,
2020-03-08,Region Gotland,0.0,
2020-03-08,Region Gävleborg,0.0,
2020-03-08,Region Halland,0.0,
2020-03-08,Region Jämtland Härjedalen,0.0,
2020-03-08,Region Jönköpings län,0.0,
2020-03-08,Region Kalmar län,0.0,
2020-03-08,Region Kronoberg,0.0,
2020-03-08,Region Norrbotten,0.0,
2020-03-08,Region Skåne,0.0,
2020-03-08,Region Stockholm,3.0,
2020-03-08,Region Sörmland,0.0,
2020-03-08,Region Uppsala,0.0,
2020-03-08,Region Värmland,0.0,
2020-03-08,Region Västerbotten,0.0,
2020-03-08,Region Västernorrland,0.0,
2020-03-08,Region Västmanland,0.0,
2020-03-08,Region Örebro län,0.0,
2020-03-08,Region Östergötland,0.0,
2020-03-08,Västra Götalandsregionen,1.0,
2020-03-09,Region Blekinge,0.0,
2020-03-09,Region Dalarna,0.0,
2020-03-09,Region Gotland,0.0,
2020-03-09,Region Gävleborg,0.0,
2020-03-09,Region Halland,0.0,
2020-03-09,Region Jämtland Härjedalen,0.0,
2020-03-09,Region Jönköpings län,0.0,
2020-03-09,Region Kalmar län,0.0,
2020-03-09,Region Kronoberg,0.0,
2020-03-09,Region Norrbotten,0.0,
2020-03-09,Region Skåne,0.0,
2020-03-09,Region Stockholm,3.0,
2020-03-09,Region Sörmland,0.0,
2020-03-09,Region Uppsala,0.0,
2020-03-09,Region Värmland,0.0,
2020-03-09,Region Västerbotten,0.0,
2020-03-09,Region Västernorrland,0.0,
2020-03-09,Region Västmanland,0.0,
2020-03-09,Region Örebro län,0.0,
2020-03-09,Region Östergötland,0.0,
2020-03-09,Västra Götalandsregionen,1.0,
2020-03-10,Region Blekinge,0.0,
2020-03-10,Region Dalarna,0.0,
2020-03-10,Region Gotland,0.0,
2020-03-10,Region Gävleborg,0.0,
2020-03-10,Region Halland,0.0,
2020-03-10,Region Jämtland Härjedalen,0.0,
2020-03-10,Region Jönköpings län,0.0,
2020-03-10,Region Kalmar län,0.0,
2020-03-10,Region Kronoberg,0.0,
2020-03-10,Region Norrbotten,0.0,
2020-03-10,Region Skåne,1.0,
2020-03-10,Region Stockholm,3.0,
2020-03-10,Region Sörmland,0.0,
2020-03-10,Region Uppsala,0.0,
2020-03-10,Region Värmland,1.0,
